T [fm^-1]		beta_pi
0.2824		0.000383078670137833
0.2832		0.000388932593844424
0.284		0.000394855430286579
0.2848		0.000400847771587016
0.2856		0.000406910213656029
0.2864		0.00041304335622029
0.2872		0.000419247802852048
0.288		0.000425524160998945
0.2888		0.000431873042013884
0.2896		0.000438295061185513
0.2904		0.000444790837769143
0.2912		0.000451360995018266
0.292		0.000458006160215876
0.2928		0.00046472696470712
0.2936		0.000471524043931607
0.2944		0.000478398037456661
0.2952		0.000485349589010793
0.296		0.000492379346517896
0.2968		0.00049948796213147
0.2976		0.000506676092269771
0.2984		0.000513944397651391
0.2992		0.000521293543330821
0.3		0.000528724198735377
0.3008		0.000536237037701763
0.3016		0.000543832738514005
0.3024		0.000551511983940904
0.3032		0.000559275461275075
0.304		0.000567123862371801
0.3048		0.000575057883688649
0.3056		0.000583078226325663
0.3064		0.000591185596066373
0.3072		0.000599380703418549
0.308		0.000607664263656736
0.3088		0.000616036996864328
0.3096		0.000624499627976723
0.3104		0.000633052886825245
0.3112		0.000641697508181081
0.312		0.000650434231800589
0.3128		0.000659263802470616
0.3136		0.000668186970054607
0.3144		0.000677204489539939
0.3152		0.000686317121084976
0.316		0.000695525630067328
0.3168		0.000704830787132906
0.3176		0.000714233368245427
0.3184		0.000723734154736531
0.3192		0.000733333933357042
0.32		0.000743033496328261
0.3208		0.000752833641394698
0.3216		0.000762735171877125
0.3224		0.000772738896726773
0.3232		0.000782845630579363
0.324		0.000793056193811384
0.3248		0.000803371412595742
0.3256		0.000813792118958918
0.3264		0.000824319150839103
0.3272		0.000834953352144692
0.328		0.000845695572813751
0.3288		0.0008565466688744
0.3296		0.000867507502506101
0.3304		0.000878578942101855
0.3312		0.000889761862330759
0.332		0.000901057144202457
0.3328		0.000912465675131429
0.3336		0.000923988349002957
0.3344		0.000935626066239776
0.3352		0.000947379733869689
0.336		0.000959250265593695
0.3368		0.000971238581856107
0.3376		0.00098334560991495
0.3384		0.000995572283913095
0.3392		0.0010079195449514
0.34		0.00102038834116197
0.3408		0.00103297962778273
0.3416		0.00104569436723328
0.3424		0.00105853352919173
0.3432		0.00107149809067251
0.344		0.00108458903610557
0.3448		0.00109780735741594
0.3456		0.00111115405410597
0.3464		0.00112463013333676
0.3472		0.00113823661001261
0.348		0.00115197450686517
0.3488		0.00116584485454012
0.3496		0.00117984869168411
0.3504		0.00119398706503288
0.3512		0.0012082610295023
0.352		0.00122267164827757
0.3528		0.00123721999290747
0.3536		0.00125190714339687
0.3544		0.00126673418830237
0.3552		0.00128170222482816
0.356		0.00129681235892448
0.3568		0.00131206570538624
0.3576		0.00132746338795374
0.3584		0.00134300653941526
0.3592		0.00135869630170978
0.36		0.00137453382603236
0.3608		0.00139052027294061
0.3616		0.00140665681246305
0.3624		0.00142294462420807
0.3632		0.00143938489747524
0.364		0.00145597883136848
0.3648		0.00147272763490998
0.3656		0.0014896325271561
0.3664		0.00150669473731525
0.3672		0.00152391550486794
0.368		0.00154129607968585
0.3688		0.00155883772215642
0.3696		0.00157654170330678
0.3704		0.00159440930493009
0.3712		0.00161244181971318
0.372		0.00163064055136755
0.3728		0.00164900681475983
0.3736		0.00166754193604651
0.3744		0.00168624725280942
0.3752		0.00170512411419244
0.376		0.00172417388104213
0.3768		0.0017433979260483
0.3776		0.00176279763388782
0.3784		0.00178237440137068
0.3792		0.00180212963758639
0.38		0.00182206476405518
0.3808		0.00184218121487869
0.3816		0.00186248043689481
0.3824		0.00188296388983303
0.3832		0.00190363304647335
0.384		0.00192448939280801
0.3848		0.00194553442820236
0.3856		0.00196676966556136
0.3864		0.00198819663149772
0.3872		0.00200981686650051
0.388		0.00203163192510919
0.3888		0.00205364337608731
0.3896		0.00207585280259977
0.3904		0.00209826180239412
0.3912		0.00212087198798155
0.392		0.00214368498682177
0.3928		0.0021667024415124
0.3936		0.00218992600997768
0.3944		0.00221335736566079
0.3952		0.00223699819772216
0.396		0.0022608502112351
0.3968		0.00228491512738904
0.3976		0.00230919468369268
0.3984		0.00233369063418074
0.3992		0.00235840474962471
0.4		0.00238333881774467
0.4008		0.00240849464342633
0.4016		0.00243387404893831
0.4024		0.00245947887415584
0.4032		0.00248531097678417
0.404		0.00251137223258756
0.4048		0.00253766453562109
0.4056		0.00256418979846441
0.4064		0.00259094995246011
0.4072		0.00261794694795482
0.408		0.00264518275454415
0.4088		0.00267265936131986
0.4096		0.00270037877712291
0.4104		0.00272834303079677
0.4112		0.00275655417144655
0.412		0.00278501426870174
0.4128		0.00281372541298141
0.4136		0.00284268971576373
0.4144		0.00287190930985874
0.4152		0.00290138634968697
0.416		0.00293112301155803
0.4168		0.00296112149395716
0.4176		0.00299138401783301
0.4184		0.00302191282688999
0.4192		0.00305271018788659
0.42		0.00308377839093388
0.4208		0.00311511974980241
0.4216		0.00314673660223036
0.4224		0.00317863131023644
0.4232		0.003210806260439
0.424		0.00324326386437692
0.4248		0.0032760065588368
0.4256		0.00330903680618262
0.4264		0.00334235709469326
0.4272		0.00337596993890096
0.428		0.00340987787993638
0.4288		0.00344408348587767
0.4296		0.00347858935210537
0.4304		0.00351339810166235
0.4312		0.00354851238561358
0.432		0.0035839348834204
0.4328		0.0036196683033096
0.4336		0.00365571538265553
0.4344		0.00369207888836269
0.4352		0.00372876161725505
0.436		0.00376576639647052
0.4368		0.00380309608386083
0.4376		0.00384075356839681
0.4384		0.00387874177057814
0.4392		0.00391706364285084
0.44		0.00395572217002805
0.4408		0.00399472036971744
0.4416		0.00403406129275641
0.4424		0.00407374802364621
0.4432		0.00411378368100107
0.444		0.00415417141799766
0.4448		0.00419491442283115
0.4456		0.00423601591917895
0.4464		0.00427747916666908
0.4472		0.00431930746135386
0.448		0.00436150413619562
0.4488		0.00440407256154917
0.4496		0.00444701614566005
0.4504		0.00449033833516398
0.4512		0.00453404261559353
0.452		0.00457813251189512
0.4528		0.00462261158894468
0.4536		0.00466748345208074
0.4544		0.0047127517476363
0.4552		0.00475842016348085
0.456		0.00480449242956794
0.4568		0.00485097231849488
0.4576		0.00489786364605917
0.4584		0.0049451702718382
0.4592		0.00499289609975883
0.46		0.00504104507868491
0.4608		0.00508962120301259
0.4616		0.00513862851327142
0.4624		0.00518807109672829
0.4632		0.00523795308800644
0.464		0.00528827866970902
0.4648		0.00533905207305458
0.4656		0.00539027757850938
0.4664		0.00544195951644653
0.4672		0.00549410226779358
0.468		0.00554671026470248
0.4688		0.00559978799122148
0.4696		0.00565333998397872
0.4704		0.00570737083287223
0.4712		0.00576188518176868
0.472		0.00581688772921673
0.4728		0.00587238322915491
0.4736		0.00592837649164968
0.4744		0.00598487238362151
0.4752		0.00604187582959419
0.476		0.00609939181245191
0.4768		0.00615742537419646
0.4776		0.00621598161672366
0.4784		0.00627506570260824
0.4792		0.0063346828558938
0.48		0.00639483836289432
0.4808		0.00645553757301093
0.4816		0.00651678589955
0.4824		0.00657858882055923
0.4832		0.00664095187966552
0.484		0.00670388068693325
0.4848		0.00676738091972926
0.4856		0.00683145832358748
0.4864		0.00689611871310701
0.4872		0.00696136797283711
0.488		0.00702721205819024
0.4888		0.00709365699635532
0.4896		0.00716070888723141
0.4904		0.00722837390436275
0.4912		0.00729665829589362
0.492		0.00736556838552208
0.4928		0.00743511057349705
0.4936		0.00750529133757532
0.4944		0.00757611723403247
0.4952		0.00764759489868479
0.496		0.00771973104788475
0.4968		0.00779253247957391
0.4976		0.007866006074322
0.4984		0.00794015879639011
0.4992		0.00801499769478897
0.5		0.00809052990437424
0.5008		0.00816676264693873
0.5016		0.00824370323231767
0.5024		0.00832135905951029
0.5032		0.00839973761782059
0.504		0.00847884648799511
0.5048		0.00855869334338995
0.5056		0.00863928595114531
0.5064		0.00872063217336142
0.5072		0.00880273996831853
0.508		0.00888561739167143
0.5088		0.00896927259769211
0.5096		0.00905371384050143
0.5104		0.00913894947533422
0.5112		0.0092249879598015
0.512		0.00931183785517919
0.5128		0.00939950782770299
0.5136		0.00948800664988886
0.5144		0.00957734320184286
0.5152		0.00966752647262757
0.516		0.0097585655615965
0.5168		0.00985046967977735
0.5176		0.00994324815125732
0.5184		0.0100369104145819
0.5192		0.0101314660241688
0.52		0.0102269246517476
0.5208		0.0103232960877964
0.5216		0.0104205902430123
0.5224		0.0105188171497818
0.5232		0.010617986963689
0.524		0.0107181099650004
0.5248		0.0108191965602136
0.5256		0.0109212572835813
0.5264		0.0110243027986757
0.5272		0.0111283438999644
0.528		0.0112333915143888
0.5288		0.0113394567029697
0.5296		0.0114465506624496
0.5304		0.0115546847268999
0.5312		0.0116638703693922
0.532		0.0117741192036663
0.5328		0.011885442985819
0.5336		0.0119978536160028
0.5344		0.0121113631401481
0.5352		0.0122259837516973
0.536		0.0123417277933743
0.5368		0.0124586077589327
0.5376		0.0125766362949635
0.5384		0.0126958262026747
0.5392		0.0128161904397447
0.54		0.0129377421221444
0.5408		0.0130604945259883
0.5416		0.0131844610894142
0.5424		0.0133096554144774
0.5432		0.0134360912690473
0.544		0.0135637825887415
0.5448		0.0136927434788752
0.5456		0.0138229882163927
0.5464		0.0139545312518649
0.5472		0.0140873872114987
0.548		0.0142215708990928
0.5488		0.0143570972981413
0.5496		0.014493981573805
0.5504		0.0146322390750382
0.5512		0.0147718853366216
0.552		0.0149129360812742
0.5528		0.0150554072217902
0.5536		0.0151993148631269
0.5544		0.0153446753045984
0.5552		0.015491505042006
0.556		0.0156398207698368
0.5568		0.0157896393834736
0.5576		0.0159409779813752
0.5584		0.0160938538673541
0.5592		0.0162482845527944
0.56		0.0164042877589283
0.5608		0.0165618814191212
0.5616		0.0167210836811675
0.5624		0.0168819129095946
0.5632		0.0170443876880347
0.564		0.0172085268215122
0.5648		0.0173743493388424
0.5656		0.0175418744950282
0.5664		0.0177111217736024
0.5672		0.0178821108890894
0.568		0.0180548617893968
0.5688		0.0182293946582472
0.5696		0.0184057299176787
0.5704		0.0185838882304757
0.5712		0.0187638905026584
0.572		0.0189457578859742
0.5728		0.0191295117804295
0.5736		0.019315173836804
0.5744		0.0195027659591721
0.5752		0.0196923103074853
0.576		0.0198838293001057
0.5768		0.0200773456163978
0.5776		0.0202728821993289
0.5784		0.0204704622580304
0.5792		0.0206701092704426
0.58		0.0208718469859326
0.5808		0.0210756994279074
0.5816		0.0212816908964941
0.5824		0.0214898459711379
0.5832		0.0217001895133338
0.584		0.0219127466692306
0.5848		0.0221275428723594
0.5856		0.0223446038462816
0.5864		0.0225639556073545
0.5872		0.0227856244673375
0.588		0.0230096370361758
0.5888		0.0232360202246746
0.5896		0.0234648012472827
0.5904		0.023696007624731
0.5912		0.0239296671867929
0.592		0.0241658080751074
0.5928		0.024404458745789
0.5936		0.0246456479722054
0.5944		0.0248894048477926
0.5952		0.0251357587887034
0.596		0.0253847395365969
0.5968		0.025636377161405
0.5976		0.0258907020640226
0.5984		0.0261477449790969
0.5992		0.0264075369777067
0.6		0.0266701094702076
0.6008		0.0269354942088361
0.6016		0.027203723290521
0.6024		0.0274748291595962
0.6032		0.0277488446104915
0.604		0.0280258027904422
0.6048		0.0283057372022202
0.6056		0.0285886817068135
0.6064		0.0288746705260714
0.6072		0.0291637382454205
0.608		0.0294559198165274
0.6088		0.0297512505598986
0.6096		0.0300497661675294
0.6104		0.0303515027055409
0.6112		0.0306564966167668
0.612		0.0309647847233405
0.6128		0.0312764042292218
0.6136		0.0315913927228107
0.6144		0.0319097881794203
0.6152		0.0322316289637402
0.616		0.0325569538324444
0.6168		0.0328858019365443
0.6176		0.0332182128237559
0.6184		0.033554226441108
0.6192		0.0338938831371001
0.62		0.034237223664147
