tau [fm]		R_PiNS^-1
4.31		-0.440395
4.315		-0.436998
4.32		-0.433665
4.325		-0.430393
4.33		-0.427181
4.335		-0.424026
4.34		-0.420925
4.345		-0.417877
4.35		-0.414879
4.355		-0.41193
4.36		-0.409028
4.365		-0.40617
4.37		-0.403356
4.375		-0.400585
4.38		-0.397853
4.385		-0.395161
4.39		-0.392506
4.395		-0.389889
4.4		-0.387306
4.405		-0.384758
4.41		-0.382242
4.415		-0.379759
4.42		-0.377307
4.425		-0.374886
4.43		-0.372493
4.435		-0.370129
4.44		-0.367793
4.445		-0.365484
4.45		-0.363201
4.455		-0.360944
4.46		-0.358711
4.465		-0.356503
4.47		-0.354319
4.475		-0.352157
4.48		-0.350018
4.485		-0.347901
4.49		-0.345806
4.495		-0.343732
4.5		-0.341678
4.505		-0.339644
4.51		-0.33763
4.515		-0.335636
4.52		-0.33366
4.525		-0.331703
4.53		-0.329764
4.535		-0.327843
4.54		-0.325939
4.545		-0.324053
4.55		-0.322184
4.555		-0.320331
4.56		-0.318494
4.565		-0.316674
4.57		-0.314869
4.575		-0.31308
4.58		-0.311307
4.585		-0.309548
4.59		-0.307804
4.595		-0.306075
4.6		-0.304361
4.605		-0.30266
4.61		-0.300974
4.615		-0.299301
4.62		-0.297642
4.625		-0.295997
4.63		-0.294364
4.635		-0.292745
4.64		-0.291139
4.645		-0.289546
4.65		-0.287965
4.655		-0.286397
4.66		-0.284841
4.665		-0.283297
4.67		-0.281765
4.675		-0.280246
4.68		-0.278738
4.685		-0.277241
4.69		-0.275757
4.695		-0.274283
4.7		-0.272821
4.705		-0.27137
4.71		-0.26993
4.715		-0.268501
4.72		-0.267083
4.725		-0.265676
4.73		-0.264279
4.735		-0.262892
4.74		-0.261516
4.745		-0.260151
4.75		-0.258795
4.755		-0.25745
4.76		-0.256114
4.765		-0.254789
4.77		-0.253473
4.775		-0.252167
4.78		-0.250871
4.785		-0.249584
4.79		-0.248307
4.795		-0.247039
4.8		-0.245781
4.805		-0.244531
4.81		-0.243291
4.815		-0.24206
4.82		-0.240837
4.825		-0.239624
4.83		-0.238419
4.835		-0.237224
4.84		-0.236036
4.845		-0.234858
4.85		-0.233688
4.855		-0.232526
4.86		-0.231373
4.865		-0.230228
4.87		-0.229091
4.875		-0.227962
4.88		-0.226842
4.885		-0.225729
4.89		-0.224625
4.895		-0.223528
4.9		-0.22244
4.905		-0.221359
4.91		-0.220285
4.915		-0.219219
4.92		-0.218161
4.925		-0.217111
4.93		-0.216068
4.935		-0.215032
4.94		-0.214003
4.945		-0.212982
4.95		-0.211968
4.955		-0.210962
4.96		-0.209962
4.965		-0.208969
4.97		-0.207984
4.975		-0.207005
4.98		-0.206033
4.985		-0.205068
4.99		-0.20411
4.995		-0.203158
5		-0.202213
5.005		-0.201275
5.01		-0.200343
5.015		-0.199418
5.02		-0.198499
5.025		-0.197586
5.03		-0.19668
5.035		-0.195781
5.04		-0.194887
