tau [fm]		R_piNS^-1
51.45		0.0243092
51.55		0.0242622
51.65		0.0242154
51.75		0.0241687
51.85		0.0241222
51.95		0.0240759
52.05		0.0240297
52.15		0.0239837
52.25		0.0239379
52.35		0.0238922
52.45		0.0238467
52.55		0.0238014
52.65		0.0237562
52.75		0.0237112
52.85		0.0236663
52.95		0.0236216
53.05		0.0235771
53.15		0.0235327
53.25		0.0234885
53.35		0.0234444
53.45		0.0234005
53.55		0.0233568
53.65		0.0233132
53.75		0.0232698
53.85		0.0232265
53.95		0.0231833
54.05		0.0231404
54.15		0.0230975
54.25		0.0230549
54.35		0.0230123
54.45		0.02297
54.55		0.0229277
54.65		0.0228857
54.75		0.0228437
54.85		0.022802
54.95		0.0227603
55.05		0.0227188
55.15		0.0226775
55.25		0.0226363
55.35		0.0225952
55.45		0.0225543
55.55		0.0225136
55.65		0.0224729
55.75		0.0224324
55.85		0.0223921
55.95		0.0223519
56.05		0.0223118
56.15		0.0222719
56.25		0.0222321
56.35		0.0221925
56.45		0.022153
56.55		0.0221136
56.65		0.0220744
56.75		0.0220353
56.85		0.0219963
56.95		0.0219575
57.05		0.0219188
57.15		0.0218802
57.25		0.0218418
57.35		0.0218035
57.45		0.0217653
57.55		0.0217273
57.65		0.0216893
57.75		0.0216516
57.85		0.0216139
57.95		0.0215764
58.05		0.021539
58.15		0.0215017
58.25		0.0214646
58.35		0.0214276
58.45		0.0213907
58.55		0.0213539
58.65		0.0213173
58.75		0.0212808
58.85		0.0212444
58.95		0.0212081
59.05		0.021172
59.15		0.0211359
59.25		0.0211
59.35		0.0210642
59.45		0.0210286
59.55		0.020993
59.65		0.0209576
59.75		0.0209223
59.85		0.0208871
59.95		0.0208521
60.05		0.0208171
60.15		0.0207823
60.25		0.0207475
60.35		0.0207129
60.45		0.0206784
60.55		0.0206441
60.65		0.0206098
60.75		0.0205757
60.85		0.0205416
60.95		0.0205077
61.05		0.0204739
61.15		0.0204402
61.25		0.0204066
61.35		0.0203731
61.45		0.0203397
61.55		0.0203065
61.65		0.0202733
61.75		0.0202403
61.85		0.0202073
61.95		0.0201745
62.05		0.0201418
62.15		0.0201092
62.25		0.0200767
62.35		0.0200443
62.45		0.020012
62.55		0.0199798
62.65		0.0199477
62.75		0.0199157
62.85		0.0198838
62.95		0.019852
63.05		0.0198203
63.15		0.0197888
63.25		0.0197573
63.35		0.0197259
63.45		0.0196947
63.55		0.0196635
63.65		0.0196324
63.75		0.0196014
63.85		0.0195706
63.95		0.0195398
64.05		0.0195091
64.15		0.0194785
64.25		0.019448
64.35		0.0194176
64.45		0.0193873
64.55		0.0193572
64.65		0.019327
64.75		0.019297
64.85		0.0192671
64.95		0.0192373
65.05		0.0192076
65.15		0.019178
65.25		0.0191484
65.35		0.019119
65.45		0.0190896
65.55		0.0190604
65.65		0.0190312
65.75		0.0190021
65.85		0.0189731
65.95		0.0189442
66.05		0.0189154
66.15		0.0188867
66.25		0.018858
66.35		0.0188295
66.45		0.018801
66.55		0.0187727
66.65		0.0187444
66.75		0.0187162
66.85		0.0186881
66.95		0.0186601
67.05		0.0186321
67.15		0.0186043
67.25		0.0185765
67.35		0.0185488
67.45		0.0185212
67.55		0.0184937
67.65		0.0184663
67.75		0.018439
67.85		0.0184117
67.95		0.0183845
68.05		0.0183574
68.15		0.0183304
68.25		0.0183035
68.35		0.0182766
68.45		0.0182498
68.55		0.0182231
68.65		0.0181965
68.75		0.01817
68.85		0.0181435
68.95		0.0181172
69.05		0.0180909
69.15		0.0180647
69.25		0.0180385
69.35		0.0180125
69.45		0.0179865
69.55		0.0179606
69.65		0.0179347
69.75		0.017909
69.85		0.0178833
