tau [fm]		R_PiNS^-1
7.93		-0.0136329
7.94		-0.0136619
7.95		-0.0136908
7.96		-0.0137198
7.97		-0.0137488
7.98		-0.0137778
7.99		-0.0138068
8		-0.0138358
8.01		-0.0138649
8.02		-0.0138939
8.03		-0.013923
8.04		-0.0139521
8.05		-0.0139812
8.06		-0.0140103
8.07		-0.0140394
8.08		-0.0140685
8.09		-0.0140976
8.1		-0.0141268
8.11		-0.0141559
8.12		-0.0141851
8.13		-0.0142143
8.14		-0.0142435
8.15		-0.0142727
8.16		-0.0143019
8.17		-0.0143312
8.18		-0.0143604
8.19		-0.0143897
8.2		-0.0144189
8.21		-0.0144482
8.22		-0.0144775
8.23		-0.0145068
8.24		-0.0145361
8.25		-0.0145654
8.26		-0.0145947
8.27		-0.0146241
8.28		-0.0146534
8.29		-0.0146828
8.3		-0.0147122
8.31		-0.0147416
8.32		-0.014771
8.33		-0.0148004
8.34		-0.0148298
8.35		-0.0148592
8.36		-0.0148887
8.37		-0.0149181
8.38		-0.0149476
8.39		-0.014977
8.4		-0.0150065
8.41		-0.015036
8.42		-0.0150655
8.43		-0.015095
8.44		-0.0151245
8.45		-0.015154
8.46		-0.0151836
8.47		-0.0152131
8.48		-0.0152427
8.49		-0.0152722
8.5		-0.0153018
8.51		-0.0153314
8.52		-0.015361
8.53		-0.0153906
8.54		-0.0154202
8.55		-0.0154498
8.56		-0.0154795
8.57		-0.0155091
8.58		-0.0155387
8.59		-0.0155684
8.6		-0.0155981
8.61		-0.0156277
8.62		-0.0156574
8.63		-0.0156871
8.64		-0.0157168
8.65		-0.0157465
8.66		-0.0157762
8.67		-0.015806
8.68		-0.0158357
8.69		-0.0158654
8.7		-0.0158952
8.71		-0.0159249
8.72		-0.0159547
8.73		-0.0159845
8.74		-0.0160142
8.75		-0.016044
8.76		-0.0160738
8.77		-0.0161036
8.78		-0.0161334
8.79		-0.0161633
8.8		-0.0161931
8.81		-0.0162229
8.82		-0.0162528
8.83		-0.0162826
8.84		-0.0163125
8.85		-0.0163423
8.86		-0.0163722
8.87		-0.0164021
8.88		-0.0164319
8.89		-0.0164618
8.9		-0.0164917
8.91		-0.0165216
8.92		-0.0165515
8.93		-0.0165815
8.94		-0.0166114
8.95		-0.0166413
8.96		-0.0166713
8.97		-0.0167012
8.98		-0.0167311
8.99		-0.0167611
9		-0.0167911
9.01		-0.016821
9.02		-0.016851
9.03		-0.016881
9.04		-0.016911
9.05		-0.016941
9.06		-0.016971
9.07		-0.017001
9.08		-0.017031
9.09		-0.017061
9.1		-0.017091
9.11		-0.0171211
9.12		-0.0171511
9.13		-0.0171811
9.14		-0.0172112
9.15		-0.0172412
9.16		-0.0172713
9.17		-0.0173014
9.18		-0.0173314
9.19		-0.0173615
9.2		-0.0173916
9.21		-0.0174217
9.22		-0.0174517
