tau [fm]		R_PiNS^-1
46.85		-0.0648466
46.95		-0.0624482
47.05		-0.0602597
47.15		-0.0582578
47.25		-0.0564221
47.35		-0.0547345
47.45		-0.0531791
47.55		-0.0517418
47.65		-0.0504099
47.75		-0.0491726
47.85		-0.0480199
47.95		-0.0469431
48.05		-0.0459346
48.15		-0.0449876
48.25		-0.0440958
48.35		-0.043254
48.45		-0.0424574
48.55		-0.0417016
48.65		-0.0409829
48.75		-0.0402979
48.85		-0.0396436
48.95		-0.0390173
49.05		-0.0384166
49.15		-0.0378394
49.25		-0.0372837
49.35		-0.0367479
49.45		-0.0362304
49.55		-0.0357298
49.65		-0.0352449
49.75		-0.0347746
49.85		-0.0343179
49.95		-0.0338739
50.05		-0.0334418
50.15		-0.0330209
50.25		-0.0326105
50.35		-0.0322099
50.45		-0.0318188
50.55		-0.0314365
50.65		-0.0310626
50.75		-0.0306967
50.85		-0.0303385
50.95		-0.0299876
51.05		-0.0296437
51.15		-0.0293064
51.25		-0.0289756
51.35		-0.028651
51.45		-0.0283324
51.55		-0.0280195
51.65		-0.0277122
51.75		-0.0274102
51.85		-0.0271135
51.95		-0.0268218
52.05		-0.026535
52.15		-0.026253
52.25		-0.0259756
52.35		-0.0257027
52.45		-0.0254343
52.55		-0.0251701
52.65		-0.0249101
52.75		-0.0246541
52.85		-0.0244022
52.95		-0.0241541
53.05		-0.0239099
53.15		-0.0236694
53.25		-0.0234325
53.35		-0.0231992
53.45		-0.0229694
53.55		-0.022743
53.65		-0.02252
53.75		-0.0223003
53.85		-0.0220838
53.95		-0.0218704
54.05		-0.0216602
54.15		-0.021453
54.25		-0.0212488
54.35		-0.0210476
54.45		-0.0208492
54.55		-0.0206536
54.65		-0.0204608
54.75		-0.0202708
54.85		-0.0200834
54.95		-0.0198987
55.05		-0.0197166
55.15		-0.019537
55.25		-0.0193599
55.35		-0.0191853
55.45		-0.0190131
55.55		-0.0188432
55.65		-0.0186757
55.75		-0.0185105
55.85		-0.0183476
55.95		-0.0181869
56.05		-0.0180283
56.15		-0.0178719
56.25		-0.0177177
56.35		-0.0175655
56.45		-0.0174153
56.55		-0.0172672
56.65		-0.0171211
56.75		-0.0169769
56.85		-0.0168346
56.95		-0.0166942
57.05		-0.0165557
57.15		-0.0164189
57.25		-0.016284
57.35		-0.0161509
57.45		-0.0160195
57.55		-0.0158898
57.65		-0.0157618
57.75		-0.0156355
57.85		-0.0155108
57.95		-0.0153877
58.05		-0.0152662
58.15		-0.0151463
58.25		-0.0150279
58.35		-0.014911
58.45		-0.0147957
58.55		-0.0146817
58.65		-0.0145693
58.75		-0.0144582
58.85		-0.0143486
58.95		-0.0142403
59.05		-0.0141334
59.15		-0.0140278
59.25		-0.0139236
59.35		-0.0138206
59.45		-0.013719
59.55		-0.0136186
59.65		-0.0135194
59.75		-0.0134215
59.85		-0.0133247
59.95		-0.0132292
60.05		-0.0131348
60.15		-0.0130416
60.25		-0.0129495
60.35		-0.0128586
60.45		-0.0127687
60.55		-0.0126799
60.65		-0.0125922
60.75		-0.0125056
60.85		-0.01242
60.95		-0.0123354
61.05		-0.0122518
61.15		-0.0121692
61.25		-0.0120876
61.35		-0.012007
61.45		-0.0119273
61.55		-0.0118486
61.65		-0.0117708
61.75		-0.0116939
61.85		-0.0116179
61.95		-0.0115428
62.05		-0.0114686
62.15		-0.0113952
62.25		-0.0113227
62.35		-0.011251
62.45		-0.0111802
62.55		-0.0111101
62.65		-0.0110409
62.75		-0.0109724
62.85		-0.0109048
62.95		-0.0108379
63.05		-0.0107717
63.15		-0.0107064
63.25		-0.0106417
63.35		-0.0105778
63.45		-0.0105146
63.55		-0.0104521
63.65		-0.0103903
63.75		-0.0103292
63.85		-0.0102688
63.95		-0.0102091
64.05		-0.01015
64.15		-0.0100915
64.25		-0.0100337
64.35		-0.00997658
64.45		-0.00992005
64.55		-0.00986413
64.65		-0.00980883
64.75		-0.00975413
64.85		-0.00970002
64.95		-0.0096465
65.05		-0.00959355
65.15		-0.00954117
65.25		-0.00948936
65.35		-0.0094381
65.45		-0.00938739
65.55		-0.00933722
65.65		-0.00928758
65.75		-0.00923846
65.85		-0.00918987
65.95		-0.00914179
66.05		-0.00909421
66.15		-0.00904714
66.25		-0.00900055
66.35		-0.00895446
66.45		-0.00890884
66.55		-0.00886369
66.65		-0.00881902
66.75		-0.0087748
66.85		-0.00873104
66.95		-0.00868773
67.05		-0.00864486
67.15		-0.00860243
67.25		-0.00856043
67.35		-0.00851886
67.45		-0.00847771
67.55		-0.00843698
67.65		-0.00839666
67.75		-0.00835674
67.85		-0.00831722
67.95		-0.0082781
68.05		-0.00823937
68.15		-0.00820102
68.25		-0.00816306
68.35		-0.00812547
68.45		-0.00808825
68.55		-0.0080514
68.65		-0.00801491
68.75		-0.00797878
68.85		-0.007943
