tau [fm]		R_piNS^-1
52.85		0.0236656
52.95		0.023621
53.05		0.0235766
53.15		0.0235324
53.25		0.0234882
53.35		0.0234443
53.45		0.0234005
53.55		0.0233568
53.65		0.0233134
53.75		0.02327
53.85		0.0232268
53.95		0.0231838
54.05		0.0231409
54.15		0.0230982
54.25		0.0230556
54.35		0.0230131
54.45		0.0229708
54.55		0.0229287
54.65		0.0228867
54.75		0.0228448
54.85		0.0228031
54.95		0.0227616
55.05		0.0227202
55.15		0.0226789
55.25		0.0226378
55.35		0.0225968
55.45		0.0225559
55.55		0.0225152
55.65		0.0224746
55.75		0.0224342
55.85		0.0223939
55.95		0.0223538
56.05		0.0223138
56.15		0.0222739
56.25		0.0222342
56.35		0.0221946
56.45		0.0221551
56.55		0.0221158
56.65		0.0220766
56.75		0.0220375
56.85		0.0219986
56.95		0.0219598
57.05		0.0219211
57.15		0.0218826
57.25		0.0218442
57.35		0.0218059
57.45		0.0217678
57.55		0.0217298
57.65		0.0216919
57.75		0.0216542
57.85		0.0216165
57.95		0.021579
58.05		0.0215417
58.15		0.0215044
58.25		0.0214673
58.35		0.0214303
58.45		0.0213934
58.55		0.0213567
58.65		0.0213201
58.75		0.0212836
58.85		0.0212472
58.95		0.0212109
59.05		0.0211748
59.15		0.0211388
59.25		0.0211029
59.35		0.0210671
59.45		0.0210315
59.55		0.0209959
59.65		0.0209605
59.75		0.0209252
59.85		0.02089
59.95		0.020855
60.05		0.02082
60.15		0.0207852
60.25		0.0207505
60.35		0.0207159
60.45		0.0206814
60.55		0.020647
60.65		0.0206127
60.75		0.0205786
60.85		0.0205445
60.95		0.0205106
61.05		0.0204768
61.15		0.0204431
61.25		0.0204095
61.35		0.020376
61.45		0.0203426
61.55		0.0203093
61.65		0.0202762
61.75		0.0202431
61.85		0.0202102
61.95		0.0201773
62.05		0.0201446
62.15		0.020112
62.25		0.0200795
62.35		0.020047
62.45		0.0200147
62.55		0.0199825
62.65		0.0199504
62.75		0.0199184
62.85		0.0198865
62.95		0.0198547
63.05		0.019823
63.15		0.0197914
63.25		0.0197599
63.35		0.0197285
63.45		0.0196973
63.55		0.0196661
63.65		0.019635
63.75		0.019604
63.85		0.0195731
63.95		0.0195423
64.05		0.0195116
64.15		0.019481
64.25		0.0194505
64.35		0.0194201
64.45		0.0193897
64.55		0.0193595
64.65		0.0193294
64.75		0.0192994
64.85		0.0192694
64.95		0.0192396
65.05		0.0192098
65.15		0.0191802
65.25		0.0191506
65.35		0.0191211
65.45		0.0190918
65.55		0.0190625
65.65		0.0190333
65.75		0.0190042
65.85		0.0189752
65.95		0.0189462
66.05		0.0189174
66.15		0.0188886
66.25		0.01886
66.35		0.0188314
66.45		0.0188029
66.55		0.0187745
66.65		0.0187462
66.75		0.018718
66.85		0.0186899
66.95		0.0186618
67.05		0.0186338
67.15		0.018606
67.25		0.0185782
67.35		0.0185505
67.45		0.0185228
67.55		0.0184953
67.65		0.0184678
67.75		0.0184404
67.85		0.0184132
67.95		0.0183859
68.05		0.0183588
68.15		0.0183318
68.25		0.0183048
68.35		0.0182779
68.45		0.0182511
68.55		0.0182244
68.65		0.0181977
68.75		0.0181712
68.85		0.0181447
68.95		0.0181183
69.05		0.018092
69.15		0.0180657
69.25		0.0180395
69.35		0.0180134
69.45		0.0179874
69.55		0.0179615
69.65		0.0179356
69.75		0.0179098
69.85		0.0178841
69.95		0.0178585
70.05		0.0178329
70.15		0.0178074
70.25		0.017782
70.35		0.0177567
70.45		0.0177314
70.55		0.0177062
70.65		0.0176811
70.75		0.0176561
70.85		0.0176311
70.95		0.0176062
71.05		0.0175814
71.15		0.0175566
71.25		0.0175319
71.35		0.0175073
71.45		0.0174828
71.55		0.0174583
71.65		0.0174339
71.75		0.0174096
71.85		0.0173853
71.95		0.0173612
72.05		0.017337
72.15		0.017313
72.25		0.017289
72.35		0.0172651
72.45		0.0172412
72.55		0.0172175
72.65		0.0171938
72.75		0.0171701
72.85		0.0171465
72.95		0.017123
73.05		0.0170996
73.15		0.0170762
73.25		0.0170529
73.35		0.0170297
73.45		0.0170065
73.55		0.0169834
73.65		0.0169603
73.75		0.0169373
73.85		0.0169144
73.95		0.0168916
