tau [fm]		R_piNS^-1
7.54		0.157494
7.55		0.157305
7.56		0.157117
7.57		0.15693
7.58		0.156743
7.59		0.156556
7.6		0.15637
7.61		0.156184
7.62		0.155999
7.63		0.155814
7.64		0.15563
7.65		0.155446
7.66		0.155263
7.67		0.15508
7.68		0.154898
7.69		0.154716
7.7		0.154535
7.71		0.154354
7.72		0.154173
7.73		0.153993
7.74		0.153813
7.75		0.153634
7.76		0.153455
7.77		0.153277
7.78		0.153099
7.79		0.152922
7.8		0.152745
7.81		0.152568
7.82		0.152392
7.83		0.152217
7.84		0.152042
7.85		0.151867
7.86		0.151692
7.87		0.151518
7.88		0.151345
7.89		0.151172
7.9		0.150999
7.91		0.150827
7.92		0.150655
7.93		0.150484
7.94		0.150313
7.95		0.150142
7.96		0.149972
7.97		0.149802
7.98		0.149633
7.99		0.149464
8		0.149296
8.01		0.149128
8.02		0.14896
8.03		0.148793
8.04		0.148626
8.05		0.148459
8.06		0.148293
8.07		0.148128
8.08		0.147962
8.09		0.147797
8.1		0.147633
8.11		0.147469
8.12		0.147305
8.13		0.147142
8.14		0.146979
8.15		0.146816
8.16		0.146654
8.17		0.146492
8.18		0.146331
8.19		0.14617
8.2		0.146009
8.21		0.145849
8.22		0.145689
8.23		0.145529
8.24		0.14537
8.25		0.145211
8.26		0.145053
8.27		0.144895
8.28		0.144737
8.29		0.14458
8.3		0.144423
8.31		0.144267
8.32		0.14411
8.33		0.143955
8.34		0.143799
8.35		0.143644
8.36		0.143489
8.37		0.143335
8.38		0.143181
8.39		0.143027
8.4		0.142874
8.41		0.142721
8.42		0.142568
8.43		0.142416
8.44		0.142264
8.45		0.142112
8.46		0.141961
8.47		0.14181
8.48		0.141659
8.49		0.141509
8.5		0.141359
8.51		0.14121
8.52		0.14106
8.53		0.140912
8.54		0.140763
8.55		0.140615
8.56		0.140467
8.57		0.140319
8.58		0.140172
8.59		0.140025
8.6		0.139879
8.61		0.139732
8.62		0.139587
8.63		0.139441
8.64		0.139296
8.65		0.139151
8.66		0.139006
8.67		0.138862
8.68		0.138718
8.69		0.138574
8.7		0.138431
8.71		0.138288
8.72		0.138145
8.73		0.138003
8.74		0.137861
8.75		0.137719
8.76		0.137578
8.77		0.137436
8.78		0.137296
8.79		0.137155
8.8		0.137015
8.81		0.136875
8.82		0.136735
8.83		0.136596
8.84		0.136457
8.85		0.136318
8.86		0.13618
8.87		0.136042
8.88		0.135904
8.89		0.135766
8.9		0.135629
8.91		0.135492
8.92		0.135356
8.93		0.135219
8.94		0.135083
8.95		0.134948
8.96		0.134812
8.97		0.134677
8.98		0.134542
8.99		0.134407
9		0.134273
9.01		0.134139
9.02		0.134005
9.03		0.133872
9.04		0.133739
9.05		0.133606
9.06		0.133473
9.07		0.133341
9.08		0.133209
9.09		0.133077
9.1		0.132946
9.11		0.132814
9.12		0.132684
9.13		0.132553
9.14		0.132423
9.15		0.132292
9.16		0.132163
9.17		0.132033
9.18		0.131904
9.19		0.131775
9.2		0.131646
9.21		0.131517
9.22		0.131389
9.23		0.131261
9.24		0.131133
9.25		0.131006
9.26		0.130879
9.27		0.130752
9.28		0.130625
9.29		0.130499
9.3		0.130373
9.31		0.130247
9.32		0.130121
9.33		0.129996
9.34		0.129871
9.35		0.129746
9.36		0.129621
9.37		0.129497
9.38		0.129373
9.39		0.129249
9.4		0.129126
9.41		0.129002
9.42		0.128879
9.43		0.128756
9.44		0.128634
9.45		0.128511
9.46		0.128389
9.47		0.128268
9.48		0.128146
9.49		0.128025
9.5		0.127903
9.51		0.127783
9.52		0.127662
9.53		0.127542
9.54		0.127421
9.55		0.127302
9.56		0.127182
9.57		0.127063
9.58		0.126943
9.59		0.126824
9.6		0.126706
9.61		0.126587
9.62		0.126469
9.63		0.126351
9.64		0.126233
9.65		0.126116
9.66		0.125998
9.67		0.125881
9.68		0.125764
9.69		0.125648
9.7		0.125531
9.71		0.125415
9.72		0.125299
9.73		0.125184
9.74		0.125068
9.75		0.124953
9.76		0.124838
9.77		0.124723
9.78		0.124608
9.79		0.124494
9.8		0.12438
9.81		0.124266
9.82		0.124152
9.83		0.124039
9.84		0.123926
9.85		0.123813
9.86		0.1237
9.87		0.123587
9.88		0.123475
9.89		0.123363
9.9		0.123251
9.91		0.123139
9.92		0.123027
9.93		0.122916
9.94		0.122805
9.95		0.122694
9.96		0.122583
9.97		0.122473
9.98		0.122363
9.99		0.122253
10		0.122143
10.01		0.122033
10.02		0.121924
10.03		0.121815
10.04		0.121706
10.05		0.121597
10.06		0.121488
10.07		0.12138
10.08		0.121272
10.09		0.121164
10.1		0.121056
10.11		0.120948
10.12		0.120841
10.13		0.120734
10.14		0.120627
10.15		0.12052
10.16		0.120413
10.17		0.120307
10.18		0.120201
10.19		0.120095
10.2		0.119989
10.21		0.119884
10.22		0.119778
10.23		0.119673
10.24		0.119568
10.25		0.119463
10.26		0.119359
10.27		0.119254
10.28		0.11915
10.29		0.119046
10.3		0.118942
10.31		0.118838
