tau [fm]		R_PiNS^-1
54.05		-0.0124643
54.15		-0.0123768
54.25		-0.0122904
54.35		-0.0122051
54.45		-0.012121
54.55		-0.0120379
54.65		-0.0119559
54.75		-0.011875
54.85		-0.0117951
54.95		-0.0117163
55.05		-0.0116385
55.15		-0.0115616
55.25		-0.0114858
55.35		-0.0114109
55.45		-0.0113369
55.55		-0.0112639
55.65		-0.0111918
55.75		-0.0111206
55.85		-0.0110503
55.95		-0.0109809
56.05		-0.0109123
56.15		-0.0108446
56.25		-0.0107777
56.35		-0.0107117
56.45		-0.0106465
56.55		-0.010582
56.65		-0.0105184
56.75		-0.0104555
56.85		-0.0103934
56.95		-0.010332
57.05		-0.0102714
57.15		-0.0102115
57.25		-0.0101524
57.35		-0.0100939
57.45		-0.0100361
57.55		-0.00997906
57.65		-0.00992266
57.75		-0.00986693
57.85		-0.00981185
57.95		-0.00975742
58.05		-0.00970362
58.15		-0.00965045
58.25		-0.00959791
58.35		-0.00954597
58.45		-0.00949463
58.55		-0.00944388
58.65		-0.00939372
58.75		-0.00934413
58.85		-0.0092951
58.95		-0.00924664
59.05		-0.00919872
59.15		-0.00915135
59.25		-0.00910451
59.35		-0.00905819
59.45		-0.0090124
59.55		-0.00896712
59.65		-0.00892234
59.75		-0.00887806
59.85		-0.00883426
59.95		-0.00879096
60.05		-0.00874812
60.15		-0.00870576
60.25		-0.00866386
60.35		-0.00862241
60.45		-0.00858142
60.55		-0.00854087
60.65		-0.00850075
60.75		-0.00846107
60.85		-0.00842181
60.95		-0.00838297
61.05		-0.00834455
61.15		-0.00830653
61.25		-0.00826891
61.35		-0.0082317
61.45		-0.00819487
61.55		-0.00815843
61.65		-0.00812236
61.75		-0.00808668
61.85		-0.00805136
61.95		-0.00801641
62.05		-0.00798182
62.15		-0.00794758
62.25		-0.0079137
62.35		-0.00788016
62.45		-0.00784696
62.55		-0.0078141
62.65		-0.00778157
62.75		-0.00774937
62.85		-0.00771749
62.95		-0.00768593
63.05		-0.00765468
63.15		-0.00762374
63.25		-0.00759311
63.35		-0.00756279
63.45		-0.00753276
63.55		-0.00750302
63.65		-0.00747358
63.75		-0.00744442
63.85		-0.00741555
63.95		-0.00738695
64.05		-0.00735863
64.15		-0.00733059
64.25		-0.00730281
64.35		-0.00727529
64.45		-0.00724804
64.55		-0.00722105
64.65		-0.00719431
64.75		-0.00716782
64.85		-0.00714158
64.95		-0.00711559
65.05		-0.00708984
65.15		-0.00706432
65.25		-0.00703905
65.35		-0.007014
65.45		-0.00698919
65.55		-0.0069646
65.65		-0.00694024
65.75		-0.0069161
65.85		-0.00689218
65.95		-0.00686847
66.05		-0.00684498
66.15		-0.0068217
66.25		-0.00679862
66.35		-0.00677575
66.45		-0.00675309
66.55		-0.00673062
66.65		-0.00670835
66.75		-0.00668628
66.85		-0.0066644
66.95		-0.00664271
67.05		-0.00662121
67.15		-0.0065999
67.25		-0.00657877
67.35		-0.00655782
67.45		-0.00653705
67.55		-0.00651646
67.65		-0.00649604
67.75		-0.0064758
67.85		-0.00645573
67.95		-0.00643582
68.05		-0.00641608
68.15		-0.00639651
68.25		-0.0063771
68.35		-0.00635785
68.45		-0.00633876
68.55		-0.00631983
68.65		-0.00630105
68.75		-0.00628243
68.85		-0.00626396
68.95		-0.00624564
69.05		-0.00622746
69.15		-0.00620943
69.25		-0.00619155
69.35		-0.00617381
69.45		-0.00615621
69.55		-0.00613875
69.65		-0.00612143
69.75		-0.00610425
69.85		-0.0060872
69.95		-0.00607028
70.05		-0.0060535
70.15		-0.00603684
70.25		-0.00602032
70.35		-0.00600392
70.45		-0.00598765
70.55		-0.0059715
70.65		-0.00595548
70.75		-0.00593958
70.85		-0.0059238
70.95		-0.00590813
71.05		-0.00589259
71.15		-0.00587716
71.25		-0.00586184
71.35		-0.00584664
71.45		-0.00583156
71.55		-0.00581658
71.65		-0.00580171
71.75		-0.00578696
71.85		-0.00577231
71.95		-0.00575776
72.05		-0.00574333
72.15		-0.00572899
72.25		-0.00571476
72.35		-0.00570063
